Ligne 1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Direction ONR > VM;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vacances Scolaires;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
arrets;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26;B27
Norelan;....;....;....;....;....;....;09:18;....;10:18;10:48;11:18;....;12:18;12:48;13:18;....;14:18;14:48;15:18;....;16:15;....;17:15;17:45;18:18;18:48;19:18
Oyards;06:20;06:50;07:18;....;08:18;08:48;09:20;....;10:20;10:50;11:20;....;12:20;12:50;13:20;....;14:20;14:50;15:20;....;16:18;....;17:18;17:48;18:20;18:50;19:20
Granges Rollet;06:21;06:51;07:19;....;08:19;08:49;09:21;....;10:21;10:51;11:21;....;12:21;12:51;13:21;....;14:21;14:51;15:21;....;16:19;....;17:19;17:49;18:21;18:51;19:21
Revermont;....;....;....;07:45;....;....;....;09:47;....;....;....;11:46;....;....;....;13:47;....;....;....;15:47;....;16:45;....;....;....;....;....
GrangesBardes;....;....;....;07:48;....;....;....;09:50;....;....;....;11:49;....;....;....;13:50;....;....;....;15:50;....;16:48;....;....;....;....;....
GrandChalles;....;....;....;07:49;....;....;....;09:51;....;....;....;11:50;....;....;....;13:51;....;....;....;15:51;....;16:49;....;....;....;....;....
Tilleuls;06:22;06:52;07:20;07:50;08:20;08:50;09:22;09:52;10:22;10:52;11:22;11:51;12:22;12:52;13:22;13:52;14:22;14:52;15:22;15:52;16:20;16:50;17:20;17:50;18:22;18:52;19:22
Chevrier;06:23;06:53;07:21;07:51;08:21;08:51;09:23;09:53;10:23;10:53;11:23;11:52;12:23;12:53;13:23;13:53;14:23;14:53;15:23;15:53;16:21;16:51;17:21;17:51;18:23;18:53;19:23
Cimetiere;06:24;06:54;07:22;07:52;08:22;08:52;09:24;09:54;10:24;10:54;11:24;11:53;12:24;12:54;13:24;13:54;14:24;14:54;15:24;15:54;16:22;16:52;17:22;17:52;18:24;18:54;19:24
Schuman;06:25;06:55;07:23;07:53;08:23;08:53;09:25;09:55;10:25;10:55;11:25;11:54;12:25;12:55;13:25;13:55;14:25;14:55;15:25;15:55;16:23;16:53;17:23;17:53;18:25;18:55;19:25
Dunant;06:26;06:56;07:25;07:55;08:25;08:55;09:26;09:56;10:26;10:56;11:26;11:55;12:26;12:56;13:26;13:56;14:26;14:56;15:26;15:56;16:25;16:55;17:25;17:55;18:26;18:56;19:26
JeanMoulin;06:26;06:56;07:25;07:55;08:25;08:55;09:26;09:56;10:26;10:56;11:26;11:55;12:26;12:56;13:26;13:56;14:26;14:56;15:26;15:56;16:25;16:55;17:25;17:55;18:26;18:56;19:26
CarreAmiot(Maginot);06:30;07:00;07:30;08:00;08:30;09:00;09:30;10:00;10:30;11:00;11:30;12:00;12:30;13:00;13:30;14:00;14:30;15:00;15:30;16:00;16:30;17:00;17:30;18:00;18:30;19:00;19:30
HoteldeVille;06:32;07:02;07:32;08:02;08:32;09:02;09:32;10:02;10:32;11:02;11:32;12:02;12:32;13:02;13:32;14:02;14:32;15:02;15:32;16:02;16:32;17:02;17:32;18:02;18:32;19:02;19:32
Prefecture;06:33;07:04;07:34;08:04;08:34;09:03;09:33;10:03;10:33;11:03;11:33;12:03;12:33;13:03;13:33;14:03;14:33;15:03;15:33;16:04;16:34;17:04;17:34;18:03;18:33;19:03;19:33
Observatoire;06:34;07:06;07:36;08:06;08:36;09:04;09:34;10:04;10:34;11:04;11:34;12:04;12:34;13:04;13:34;14:04;14:34;15:04;15:34;16:06;16:36;17:06;17:36;18:04;18:34;19:04;19:34
