Ligne 1;;;;;;;;;;;;;;;;;;;;;;;;;;;
VM>ONR;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vacances;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
arrets;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26;B27
Moliere;....;....;....;....;08:07;....;09:12;....;....;10:42;....;11:42;....;12:42;....;13:42;....;14:42;....;15:42;....;16:39;....;17:39;....;18:40;....
Seillon CFA;....;....;....;....;08:09;....;09:13;....;....;10:43;....;11:43;....;12:43;....;13:43;....;14:43;....;15:43;....;16:41;....;17:41;....;18:41;....
Verlaine;06:12;06:42;07:07;07:37;....;08:37;....;09:42;10:12;....;11:12;....;12:12;....;13:12;....;14:12;....;15:12;....;16:09;....;17:09;....;18:10;....;19:10
Chartreuse;06:13;06:43;07:08;07:38;08:10;08:38;09:14;09:43;10:13;10:44;11:13;11:44;12:13;12:44;13:13;13:44;14:13;14:44;15:13;15:44;16:10;16:42;17:10;17:42;18:11;18:42;19:11
Rousseau;06:15;06:45;07:10;07:40;08:11;08:40;09:15;09:45;10:15;10:45;11:15;11:45;12:15;12:45;13:15;13:45;14:15;14:45;15:15;15:45;16:12;16:43;17:12;17:43;18:13;18:43;19:13
Vennes;06:15;06:45;07:11;07:41;08:12;08:41;09:16;09:45;10:15;10:46;11:15;11:46;12:15;12:46;13:15;13:46;14:15;14:46;15:15;15:46;16:13;16:44;17:13;17:44;18:13;18:44;19:13
LaBruyere;06:17;06:47;07:13;07:43;08:13;08:43;09:17;09:47;10:17;10:47;11:17;11:47;12:17;12:47;13:17;13:47;14:17;14:47;15:17;15:47;16:15;16:45;17:15;17:45;18:15;18:45;19:15
StRoch;06:18;06:48;07:15;07:45;08:15;08:45;09:18;09:48;10:18;10:48;11:18;11:48;12:18;12:48;13:18;13:48;14:18;14:48;15:18;15:48;16:16;16:46;17:16;17:46;18:17;18:47;19:17
Plein Soleil;06:19;06:49;07:16;07:46;08:16;08:46;09:19;09:49;10:19;10:49;11:19;11:49;12:19;12:49;13:19;13:49;14:19;14:49;15:19;15:49;16:17;16:47;17:17;17:47;18:18;18:48;19:18
Bourg Lycees;06:19;06:49;07:16;07:46;08:16;08:46;09:19;09:49;10:19;10:49;11:19;11:49;12:19;12:49;13:19;13:49;14:19;14:49;15:19;15:49;16:17;16:47;17:17;17:47;18:18;18:48;19:18
Labalme;06:21;06:51;07:18;07:48;08:18;08:48;09:21;09:51;10:21;10:51;11:21;11:51;12:21;12:51;13:21;13:51;14:21;14:51;15:21;15:51;16:19;16:49;17:19;17:49;18:20;18:50;19:20
Voltaire;06:22;06:52;07:20;07:50;08:20;08:50;09:22;09:52;10:22;10:52;11:22;11:52;12:22;12:52;13:22;13:52;14:22;14:52;15:22;15:52;16:20;16:50;17:20;17:50;18:22;18:52;19:22
Baudin;06:23;06:53;07:21;07:51;08:21;08:51;09:23;09:53;10:23;10:53;11:23;11:53;12:23;12:53;13:23;13:53;14:23;14:53;15:23;15:53;16:21;16:51;17:21;17:51;18:23;18:53;19:23
Victoire Gare;06:23;06:53;07:21;07:51;08:21;08:51;09:23;09:53;10:23;10:53;11:23;11:53;12:23;12:53;13:23;13:53;14:23;14:53;15:23;15:53;16:21;16:51;17:21;17:51;18:23;18:53;19:23
Observatoire;06:24;06:54;07:22;07:52;08:22;08:52;09:24;09:54;10:24;10:54;11:24;11:54;12:24;12:54;13:24;13:54;14:24;14:54;15:24;15:54;16:22;16:52;17:22;17:52;18:24;18:54;19:24
Prefecture;06:25;06:55;07:24;07:54;08:24;08:54;09:25;09:55;10:25;10:55;11:25;11:55;12:25;12:55;13:25;13:55;14:25;14:55;15:25;15:55;16:24;16:54;17:24;17:54;18:25;18:55;19:25
Hotel de Ville;06:26;06:56;07:25;07:55;08:25;08:55;09:26;09:56;10:26;10:56;11:26;11:56;12:26;12:56;13:26;13:56;14:26;14:56;15:26;15:56;16:25;16:55;17:25;17:55;18:26;18:56;19:26
Carre Amiot (Maginot);06:30;07:00;07:30;08:00;08:30;09:00;09:30;10:00;10:30;11:00;11:30;12:00;12:30;13:00;13:30;14:00;14:30;15:00;15:30;16:00;16:30;17:00;17:30;18:00;18:30;19:00;19:30
Jean Moulin;06:31;07:01;07:31;08:01;08:31;09:01;09:31;10:01;10:31;11:01;11:31;12:01;12:31;13:01;13:31;14:01;14:31;15:01;15:31;16:01;16:31;17:01;17:31;18:01;18:31;19:01;19:31
