Ligne 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A>P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode Scolaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
arrets;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26;B27;B28;B29;B30;B31;B32;B33;B34;B35;B36;B37;B38;B39;B40;B41;B42;B43;B44;B45;B46;B47;B48;B49;B50;B51;B52;B53
Alagnier;06:18;06:33;06:48;07:03;07:17;07:31;07:46;08:01;08:16;08:31;08:46;09:01;09:16;09:31;09:46;10:01;10:16;10:31;10:46;11:01;11:16;11:31;11:46;12:01;12:16;12:31;12:46;13:01;13:16;13:31;13:46;14:01;14:16;14:31;14:46;15:01;15:16;15:31;15:46;16:01;16:16;16:31;16:46;17:01;17:16;17:31;17:46;18:01;18:16;18:32;18:47;19:02;19:17
Mistral;06:19;06:34;06:49;07:04;07:18;07:32;07:47;08:02;08:17;08:32;08:47;09:02;09:17;09:32;09:47;10:02;10:17;10:32;10:47;11:02;11:17;11:32;11:47;12:02;12:17;12:32;12:47;13:02;13:17;13:32;13:47;14:02;14:17;14:32;14:47;15:02;15:17;15:32;15:47;16:02;16:17;16:32;16:47;17:02;17:17;17:32;17:47;18:02;18:17;18:33;18:48;19:03;19:18
Curtafray;06:19;06:34;06:49;07:04;07:18;07:33;07:48;08:03;08:18;08:33;08:48;09:03;09:18;09:33;09:48;10:03;10:18;10:33;10:48;11:03;11:18;11:33;11:48;12:03;12:18;12:33;12:48;13:03;13:18;13:33;13:48;14:03;14:18;14:33;14:48;15:03;15:18;15:33;15:48;16:03;16:18;16:33;16:48;17:03;17:18;17:33;17:48;18:03;18:18;18:33;18:48;19:03;19:18
Loeze;06:20;06:35;06:50;07:05;07:19;07:33;07:48;08:03;08:18;08:33;08:48;09:03;09:18;09:33;09:48;10:03;10:18;10:33;10:48;11:03;11:18;11:33;11:48;12:03;12:18;12:33;12:48;13:03;13:18;13:33;13:48;14:03;14:18;14:33;14:48;15:03;15:18;15:33;15:48;16:03;16:18;16:33;16:48;17:03;17:18;17:33;17:48;18:03;18:18;18:34;18:49;19:04;19:19
Pennessuy;06:20;06:35;06:50;07:05;07:19;07:34;07:49;08:04;08:19;08:34;08:49;09:04;09:19;09:34;09:49;10:04;10:19;10:34;10:49;11:04;11:19;11:34;11:49;12:04;12:19;12:34;12:49;13:04;13:19;13:34;13:49;14:04;14:19;14:34;14:49;15:04;15:19;15:34;15:49;16:04;16:19;16:34;16:49;17:04;17:19;17:34;17:49;18:04;18:19;18:34;18:49;19:04;19:19
Picasso;06:21;06:36;06:51;07:06;07:20;07:35;07:50;08:05;08:20;08:35;08:50;09:05;09:20;09:35;09:50;10:05;10:20;10:35;10:50;11:05;11:20;11:35;11:50;12:05;12:20;12:35;12:50;13:05;13:20;13:35;13:50;14:05;14:20;14:35;14:50;15:05;15:20;15:35;15:50;16:05;16:20;16:35;16:50;17:05;17:20;17:35;17:50;18:05;18:20;18:35;18:50;19:05;19:20
Abbe Gringoz;06:22;06:37;06:52;07:07;07:21;07:35;07:50;08:05;08:20;08:35;08:50;09:05;09:20;09:35;09:50;10:05;10:20;10:35;10:50;11:05;11:20;11:35;11:50;12:05;12:20;12:35;12:50;13:05;13:20;13:35;13:50;14:05;14:20;14:35;14:50;15:05;15:20;15:35;15:50;16:05;16:20;16:35;16:50;17:05;17:20;17:35;17:50;18:05;18:20;18:36;18:51;19:06;19:21
CroixBlanche;06:23;06:38;06:53;07:08;07:22;07:37;07:52;08:07;08:22;08:37;08:52;09:07;09:22;09:37;09:52;10:07;10:22;10:37;10:52;11:07;11:22;11:37;11:52;12:07;12:22;12:37;12:52;13:07;13:22;13:37;13:52;14:07;14:22;14:37;14:52;15:07;15:22;15:37;15:52;16:07;16:22;16:37;16:52;17:07;17:22;17:37;17:52;18:07;18:22;18:37;18:52;19:07;19:22
Baudieres;06:24;06:39;06:54;07:09;07:23;07:38;07:53;08:08;08:23;08:38;08:53;09:08;09:23;09:38;09:53;10:08;10:23;10:38;10:53;11:08;11:23;11:38;11:53;12:08;12:23;12:38;12:53;13:08;13:23;13:38;13:53;14:08;14:23;14:38;14:53;15:08;15:23;15:38;15:53;16:08;16:23;16:38;16:53;17:08;17:23;17:38;17:53;18:08;18:23;18:38;18:53;19:08;19:23
Jura;06:25;06:40;06:55;07:10;07:24;07:39;07:54;08:09;08:24;08:39;08:54;09:09;09:24;09:39;09:54;10:09;10:24;10:39;10:54;11:09;11:24;11:39;11:54;12:09;12:24;12:39;12:54;13:09;13:24;13:39;13:54;14:09;14:24;14:39;14:54;15:09;15:24;15:39;15:54;16:09;16:24;16:39;16:54;17:09;17:24;17:39;17:54;18:09;18:24;18:39;18:54;19:09;19:24
