LIGNE 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EC > S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PERIODE SCOLAIRE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26;B27;B28;B29;B30;B31
constraints;;;;;;;;;;;;;D4d;D4d;;;;;;;;;D4e;;;D4c;;D4f;;;
EREALaChagne ;|;06:53;07:22;|;|;|;|;|;|;|;|;|;11:50;|;12:14;|;13:22;|;|;|;|;|;16:10;|;|;17:10;17:29;|;17:59;|;|
StadeDeguin ;|;06:54;07:23;|;|;|;|;|;|;|;|;|;|;|;12:16;|;13:24;|;|;|;|;|;|;|;|;|;17:30;|;18:00;|;|
Devorah;|;06:55;07:25;|;|;|;|;|;|;|;|;|;|;|;12:18;|;13:26;|;|;|;|;|;|;|;|;|;17:31;|;18:01;|;|
Lycee Agricole;|;06:56;07:26;;;;;;;;;;;12:10;12:20;|;13:28;|;|;|;|;|;16:12;|;|;17:12;17:32;17:45;18:02;|;|
Clinique Convert  ;06:28;06:56;07:26;07:56;08:27;08:57;09:27;09:57;10:27;10:56;11:21;11:50;|;|;12:20;12:59;13:28;13:59;14:29;15:00;15:28;15:53;|;16:23;16:55;|;17:32;|;18:02;18:31;19:02
Beau Site;06:29;06:58;07:28;07:57;08:28;08:58;09:28;09:58;10:28;10:57;11:22;11:51;|;|;12:23;13:00;13:31;14:00;14:30;15:01;15:29;15:54;|;16:24;16:56;|;17:34;|;18:04;18:32;19:03
Revermont;06:29;06:58;07:29;07:57;08:28;08:58;09:28;09:58;10:28;10:57;11:22;11:51;|;12:12;12:23;13:00;13:31;14:00;14:30;15:01;15:29;15:54;16:14;16:24;16:56;17:14;17:34;|;18:04;18:32;19:03
Petit Challes;06:30;06:59;07:30;07:58;08:29;08:59;09:29;09:59;10:29;10:58;11:23;11:52;|;|;12:24;13:01;13:32;14:01;14:31;15:02;15:30;15:55;|;16:25;16:57;|;17:35;|;18:05;18:33;19:04
Dimes;06:31;07:00;07:31;07:59;08:30;09:00;09:30;10:00;10:30;10:59;11:24;11:53;|;|;12:25;13:02;13:32;14:01;14:31;15:02;15:30;15:55;|;16:25;16:57;|;17:35;|;18:05;18:33;19:04
