L4;;;;;;;;;;;;;;;;;;;;;;;;;;
EC>S;;;;;;;;;;;;;;;;;;;;;;;;;;
VS;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
arrets;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26
EREALaChagne;l;06:59;07:29;l;l;l;l;l;l;l;l;11:59;12:29;l;13:29;l;l;l;l;l;l;l;17:29;17:59;l;l
StadeDeguin;l;07:00;07:30;l;l;l;l;l;l;l;l;12:00;12:30;l;13:30;l;l;l;l;l;l;l;17:30;18:00;l;l
DeÌÅvorah;l;0,366331019;l;l;l;l;l;l;l;l;l;12:01;12:31;l;13:31;l;l;l;l;l;l;l;17:31;18:01;l;l
LyceÌÅeAgricole;l;07:02;07:32;l;l;l;l;l;l;l;l;12:02;12:32;l;13:32;l;l;l;l;l;l;l;17:32;18:02;l;l
CliniqueConvert;06:32;07:02;07:32;07:58;08:30;09:03;09:33;10:03;10:33;11:03;11:33;12:02;12:32;13:03;13:32;14:03;14:33;15:03;15:33;16:03;16:33;17:03;17:32;18:02;18:33;19:03
BeauSite;06:33;07:04;07:34;07:59;08:31;09:04;09:34;10:04;10:34;11:04;11:34;12:04;12:34;13:04;13:34;14:04;14:34;15:04;15:34;16:04;16:34;17:04;17:34;18:04;18:34;19:04
Revermont;06:33;07:04;07:34;07:59;08:31;09:04;09:34;10:04;10:34;11:04;11:34;12:04;12:34;13:04;13:34;14:04;14:34;15:04;15:34;16:04;16:34;17:04;17:34;18:04;18:34;19:04
PetitChalles;06:34;07:05;07:35;08:00;08:32;09:05;09:35;10:05;10:35;11:05;11:35;12:05;12:35;13:05;13:35;14:05;14:35;15:05;15:35;16:05;16:35;17:05;17:35;18:05;18:35;19:05
DiÌ‚mes;06:34;07:05;07:35;08:00;08:32;09:05;09:35;10:05;10:35;11:05;11:35;12:05;12:35;13:05;13:35;14:05;14:35;15:05;15:35;16:05;16:35;17:05;17:35;18:05;18:35;19:05
PreÌÅNeuf;06:34;07:05;07:35;08:00;08:32;09:05;09:35;10:05;10:35;11:05;11:35;12:05;12:35;13:05;13:35;14:05;14:35;15:05;15:35;16:05;16:35;17:05;17:35;18:05;18:35;19:05
CentreNautique;06:35;07:06;07:36;08:01;08:33;09:06;09:36;10:06;10:36;11:06;11:36;12:06;12:36;13:06;13:36;14:06;14:36;15:06;15:36;16:06;16:36;17:06;17:36;18:06;18:36;19:06
Europe;06:36;07:07;07:37;08:02;08:34;09:07;09:37;10:07;10:37;11:07;11:37;12:07;12:37;13:07;13:37;14:07;14:37;15:07;15:37;16:07;16:37;17:07;17:37;18:07;18:37;19:07
CarreÌÅAmiot(4Septembre);06:37;07:08;07:38;08:03;08:35;09:08;09:38;10:08;10:38;11:08;11:38;12:08;12:38;13:08;13:38;14:08;14:38;15:08;15:38;16:08;16:38;17:08;17:38;18:08;18:38;19:08
HoÌ‚teldeVille;06:38;07:09;07:39;08:04;08:36;09:09;09:39;10:09;10:39;11:09;11:39;12:09;12:39;13:09;13:39;14:09;14:39;15:09;15:39;16:09;16:39;17:09;17:39;18:09;18:39;19:09
PreÌÅfecture;06:40;07:11;07:41;08:06;08:38;09:11;09:41;10:11;10:41;11:11;11:41;12:11;12:41;13:11;13:41;14:11;14:41;15:11;15:41;16:11;16:41;17:11;17:41;18:11;18:41;19:11
Observatoire;06:41;07:12;07:42;08:07;08:39;09:12;09:42;10:12;10:42;11:12;11:42;12:12;12:42;13:12;13:42;14:12;14:42;15:12;15:42;16:12;16:42;17:12;17:42;18:12;18:42;19:12
Mail;06:43;07:14;07:44;08:09;08:41;09:14;09:44;10:14;10:44;11:14;11:44;12:14;12:44;13:14;13:44;14:14;14:44;15:14;15:44;16:14;16:44;17:14;17:44;18:14;18:44;19:14
Lilas;06:44;07:15;07:45;08:10;08:42;09:15;09:45;10:15;10:45;11:15;11:45;12:15;12:45;13:15;13:45;14:15;14:45;15:15;15:45;16:15;16:45;17:15;17:45;18:15;18:45;19:15
PetitMontholon;06:46;07:17;07:47;08:12;08:44;09:17;09:47;10:17;10:47;11:17;11:47;12:17;12:47;13:17;13:47;14:17;14:47;15:17;15:47;16:17;16:47;17:17;17:47;18:17;18:47;19:17
