L4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S>EC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P_riode Scolaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;D4h;D4h;;D4g;;;;;;;;;;;;;;;;;;;;;;
;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26;B27;B28;B29
Saint Denis Colle_ge ;06:25;06:57;07:27;|;|;07:57;|;08:27;08:58;09:28;09:58;10:28;10:58;11:27;12:02;12:25;12:57;13:28;13:59;14:28;14:58;15:28;15:56;16:30;16:54;17:24;18:03;18:29;18:59
Saint Denis Centre ;06:26;06:58;07:28;|;|;07:58;|;08:28;08:59;09:29;09:59;10:29;10:59;11:28;12:03;12:26;12:58;13:29;14:00;14:29;14:59;15:29;15:57;16:31;16:55;17:25;18:04;18:30;19:00
Saint Denis Mairie ;06:26;06:58;07:28;|;|;07:58;|;08:28;08:59;09:29;09:59;10:29;10:59;11:28;12:03;12:26;12:58;13:29;14:00;14:29;14:59;15:29;15:57;16:31;16:55;17:25;18:04;18:30;19:00
Fle_ches;06:27;06:59;07:29;|;|;07:59;|;08:29;09:00;09:30;10:00;10:30;11:00;11:29;12:04;12:27;12:59;13:30;14:01;14:30;15:00;15:30;15:58;16:32;16:56;17:26;18:05;18:31;19:01
Grange Maman ;06:27;06:59;07:29;|;|;07:59;|;08:29;09:00;09:30;10:00;10:30;11:00;11:29;12:04;12:27;12:59;13:30;14:01;14:30;15:00;15:30;15:58;16:33;16:57;17:27;18:05;18:31;19:01
Fruitie_re;06:28;07:00;07:30;|;|;08:00;|;08:30;09:01;09:31;10:01;10:31;11:01;11:30;12:06;12:29;13:01;13:31;14:02;14:31;15:01;15:31;15:59;16:34;16:58;17:28;18:06;18:32;19:02
Printemps;06:29;07:01;07:31;|;|;08:01;|;08:31;09:02;09:32;10:02;10:32;11:02;11:31;12:07;12:30;13:02;13:32;14:03;14:32;15:02;15:32;16:00;16:35;16:59;17:29;18:07;18:33;19:03
Petit Montholon ;06:30;07:02;07:32;|;|;08:02;|;08:32;09:03;09:33;10:03;10:33;11:03;11:32;12:08;12:31;13:03;13:33;14:04;14:33;15:03;15:33;16:01;16:37;17:01;17:31;18:08;18:34;19:04
Lilas;06:31;07:03;07:33;|;|;08:03;|;08:33;09:04;09:34;10:04;10:34;11:04;11:33;12:09;12:32;13:04;13:34;14:05;14:34;15:04;15:34;16:02;16:38;17:02;17:32;18:09;18:35;19:05
Mail;06:33;07:05;07:35;|;|;08:05;|;08:35;09:06;09:36;10:06;10:36;11:06;11:35;12:11;12:34;13:06;13:36;14:07;14:36;15:06;15:36;16:04;16:40;17:04;17:34;18:11;18:37;19:07
Se_mardGare ;|;|;|;07:43;07:51;|;08:23;|;|;|;|;|;|;|;|;|;|;|;|;|;|;|;|;|;|;|;|;|;|
VictoireGare;|;|;|;07:45;07:53;|;08:25;|;|;|;|;|;|;|;|;|;|;|;|;|;|;|;|;|;|;|;|;|;|
Observatoire;06:34;07:07;07:37;|;|;08:07;|;08:37;09:07;09:37;10:07;10:37;11:07;11:37;12:13;12:36;13:07;13:37;14:08;14:37;15:07;15:37;16:06;16:42;17:06;17:36;18:12;18:38;19:08
Pre_fecture;06:36;07:08;07:38;|;|;08:08;|;08:38;09:09;09:39;10:09;10:39;11:09;11:38;12:14;12:37;13:09;13:39;14:10;14:39;15:09;15:39;16:07;16:43;17:07;17:37;18:13;18:39;19:09
Ho_tel de Ville;06:37;07:10;07:40;|;|;08:10;|;08:40;09:10;09:40;10:10;10:40;11:10;11:40;12:16;12:39;13:10;13:40;14:11;14:40;15:10;15:40;16:09;16:45;17:09;17:39;18:14;18:40;19:10
Carre_ Amiot (4 Septembre) ;06:42;07:13;07:45;|;|;08:15;|;08:45;09:15;09:45;10:15;10:45;11:15;11:45;12:21;12:45;13:15;13:45;14:15;14:45;15:15;15:45;16:15;16:52;17:15;17:45;18:17;18:45;19:15
Joliot Curie;06:43;07:15;07:47;07:55;08:03;08:17;08:35;08:47;09:16;09:46;10:16;10:46;11:16;11:46;12:22;12:46;13:16;13:46;14:16;14:46;15:16;15:46;16:17;16:54;17:17;17:47;18:18;18:46;19:16
Centre Nautique;06:44;07:16;07:48;|;|;08:18;|;08:48;09:18;09:48;10:18;10:48;11:18;11:48;12:24;12:48;13:18;13:48;14:18;14:48;15:18;15:48;16:18;16:55;17:18;17:48;18:19;18:47;19:17
Pre_ Neuf;06:44;07:17;07:49;|;|;08:19;|;08:49;09:19;09:49;10:19;10:49;11:19;11:49;12:25;12:49;13:19;13:49;14:19;14:49;15:19;15:49;16:20;16:57;17:20;17:50;18:19;18:47;19:17
Di_mes;06:45;07:18;07:50;|;|;08:20;|;08:50;09:20;09:50;10:20;10:50;11:20;11:50;12:26;12:50;13:20;13:50;14:20;14:50;15:20;15:50;16:21;16:58;17:21;17:51;18:20;18:48;19:18
Petit Challes;06:46;07:19;07:51;|;|;08:21;|;08:51;09:21;09:51;10:21;10:51;11:21;11:51;12:27;12:51;13:21;13:51;14:21;14:51;15:21;15:51;16:21;16:58;17:21;17:51;18:21;18:49;19:19
Revermont;06:46;07:20;07:52;08:01;08:09;08:22;08:41;08:52;09:22;09:52;10:22;10:52;11:22;11:52;12:28;12:52;13:22;13:52;14:22;14:52;15:22;15:52;16:23;17:00;17:23;17:53;18:21;18:49;19:19
Beau Site;06:47;07:20;07:52;|;|;08:22;|;08:52;09:23;09:53;10:23;10:53;11:23;11:53;12:29;12:53;13:23;13:53;14:23;14:53;15:23;15:53;16:23;17:00;17:23;17:53;18:22;18:50;19:20
Clinique Convert;06:48;07:22;07:54;|;|;08:24;|;08:54;09:25;09:55;10:25;10:55;11:25;11:55;12:31;12:55;13:25;13:55;14:25;14:55;15:25;15:55;16:25;17:02;17:25;17:55;18:23;18:51;19:21
Lyce_e Agricole;06:48;07:22;|;08:04;08:12;|;08:44|;|;|;|;|;|;|;11:55;12:31;;13:25;|;|;|;|;|;|;|;17:25;17:55;|;|;|
De_vorah;06:49;07:23;|;|;|;|;|;|;|;|;|;|;|;11:56;12:32;;13:26;|;|;|;|;|;|;|;17:26;17:56;|;|;|
StadeDeguin;06:50;07:24;|;|;|;|;|;|;|;|;|;|;|;11:57;12:33;|;13:27;|;|;|;|;|;|;|;17:27;17:57;|;|;|
EREA La Chagne;06:52;07:26;|;08:06;08:14;|;08:46;|;|;|;|;|;|;11:59;12:35;|;13:29;|;|;|;|;|;|;|;17:29;17:59;|;|;|
;;;;D4h;D4h;;D4g;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D4 : course effectue_e en car;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g : uniquement Lundis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
h : uniquement lundis, mardis, mercredis, jeudis, vendredis ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
